menu_fd_Code,menu_fd_Nm,upper_Fd_Grupp_Nm,fd_Grupp_Nm,ingredient_text,document
D012011,쑥밥,밥류,잡곡밥류,"쑥, 생것, 멥쌀, 백미, 밥","메뉴명: 쑥밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 쑥, 생것, 멥쌀, 백미, 밥"
D012012,약식,밥류,잡곡밥류,"찹쌀, 백미, 보람찰, 밥, 밤, 생것, 대추, 말린것, 간장, 개량, 양조, 설탕, 흑설탕, 잣, 볶은것, 참기름","메뉴명: 약식
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 보람찰, 밥, 밤, 생것, 대추, 말린것, 간장, 개량, 양조, 설탕, 흑설탕, 잣, 볶은것, 참기름"
D012013,오곡밥,밥류,잡곡밥류,"찹쌀, 백미, 보람찰, 밥, 멥쌀, 백미, 밥, 조, 차조, 도정, 생것, 팥, 적색, 삶은것, 수수, 찰수수, 도정, 생것, 대두, 검은색, 흑태, 말린것, 기장, 도정, 생것, 소금, 천일염, 가는소금","메뉴명: 오곡밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 보람찰, 밥, 멥쌀, 백미, 밥, 조, 차조, 도정, 생것, 팥, 적색, 삶은것, 수수, 찰수수, 도정, 생것, 대두, 검은색, 흑태, 말린것, 기장, 도정, 생것, 소금, 천일염, 가는소금"
D012014,옥수수밥,밥류,잡곡밥류,"옥수수, 찰옥수수, 삶은것, 멥쌀, 백미, 밥","메뉴명: 옥수수밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 옥수수, 찰옥수수, 삶은것, 멥쌀, 백미, 밥"
D012015,완두콩밥,밥류,잡곡밥류,"완두, 삶은것, 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥","메뉴명: 완두콩밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 완두, 삶은것, 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥"
D012016,율무밥,밥류,잡곡밥류,"율무, 도정, 생것, 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥","메뉴명: 율무밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 율무, 도정, 생것, 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥"
D012017,잡곡밥(강낭콩),밥류,잡곡밥류,"강낭콩, 삶은것, 멥쌀, 백미, 밥, 보리, 겉보리, 압맥","메뉴명: 잡곡밥(강낭콩)
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 강낭콩, 삶은것, 멥쌀, 백미, 밥, 보리, 겉보리, 압맥"
D012018,잡곡밥(옥수수),밥류,잡곡밥류,"보리, 겉보리, 압맥, 멥쌀, 백미, 밥, 옥수수, 찰옥수수, 삶은것, 율무, 도정, 생것, 조, 메조, 도정, 생것","메뉴명: 잡곡밥(옥수수)
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 보리, 겉보리, 압맥, 멥쌀, 백미, 밥, 옥수수, 찰옥수수, 삶은것, 율무, 도정, 생것, 조, 메조, 도정, 생것"
D012019,잡곡밥(팥),밥류,잡곡밥류,"멥쌀, 백미, 밥, 팥, 적색, 삶은것, 수수, 도정, 생것, 조, 차조, 도정, 생것","메뉴명: 잡곡밥(팥)
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 밥, 팥, 적색, 삶은것, 수수, 도정, 생것, 조, 차조, 도정, 생것"
D012020,조밥,밥류,잡곡밥류,"조, 메조, 도정, 생것, 멥쌀, 백미, 밥","메뉴명: 조밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 조, 메조, 도정, 생것, 멥쌀, 백미, 밥"
D012021,차수수밥,밥류,잡곡밥류,"수수, 찰수수, 도정, 생것, 멥쌀, 백미, 밥, 보리, 겉보리, 압맥","메뉴명: 차수수밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 수수, 찰수수, 도정, 생것, 멥쌀, 백미, 밥, 보리, 겉보리, 압맥"
D012022,차조밥,밥류,잡곡밥류,"조, 차조, 도정, 생것, 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥","메뉴명: 차조밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 조, 차조, 도정, 생것, 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥"
D012023,찰밥(멥쌀),밥류,잡곡밥류,"찹쌀, 백미, 보람찰, 밥, 멥쌀, 백미, 밥","메뉴명: 찰밥(멥쌀)
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 보람찰, 밥, 멥쌀, 백미, 밥"
D012024,찰밥(수수),밥류,잡곡밥류,"찹쌀, 백미, 보람찰, 밥, 수수, 찰수수, 도정, 생것, 멥쌀, 백미, 밥","메뉴명: 찰밥(수수)
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 보람찰, 밥, 수수, 찰수수, 도정, 생것, 멥쌀, 백미, 밥"
D012025,콩밥,밥류,잡곡밥류,"대두, 검은색, 흑태, 삶은것, 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥","메뉴명: 콩밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 대두, 검은색, 흑태, 삶은것, 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥"
D012026,팥밥,밥류,잡곡밥류,"팥, 적색, 삶은것, 멥쌀, 백미, 밥","메뉴명: 팥밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 팥, 적색, 삶은것, 멥쌀, 백미, 밥"
D012027,귀리누룽지,밥류,잡곡밥류,"귀리, 쌀귀리, 도정, 생것, 즉석밥, 누룽지","메뉴명: 귀리누룽지
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 귀리, 쌀귀리, 도정, 생것, 즉석밥, 누룽지"
D012029,귀리밥,밥류,잡곡밥류,"찹쌀, 백미, 보람찰, 밥, 귀리, 쌀귀리, 도정, 밥","메뉴명: 귀리밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 보람찰, 밥, 귀리, 쌀귀리, 도정, 밥"
D012034,보리고구마밥,밥류,잡곡밥류,"보리, 쌀보리, 도정, 생것, 고구마, 찐것, 멥쌀, 백미, 밥","메뉴명: 보리고구마밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 보리, 쌀보리, 도정, 생것, 고구마, 찐것, 멥쌀, 백미, 밥"
D012037,양주밤밥,밥류,잡곡밥류,"멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥, 은행, 삶은것, 밤, 삶은것","메뉴명: 양주밤밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 밥, 찹쌀, 백미, 보람찰, 밥, 은행, 삶은것, 밤, 삶은것"
D012043,조감자밥,밥류,잡곡밥류,"감자, 대지, 삶은것, 조, 차조, 도정, 생것","메뉴명: 조감자밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 감자, 대지, 삶은것, 조, 차조, 도정, 생것"
D012047,보리옥수수밥,밥류,잡곡밥류,"멥쌀, 백미, 밥, 옥수수, 찰옥수수, 삶은것, 보리, 겉보리, 압맥","메뉴명: 보리옥수수밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 밥, 옥수수, 찰옥수수, 삶은것, 보리, 겉보리, 압맥"
D012048,보리옥수수밥,밥류,잡곡밥류,"보리, 겉보리, 압맥, 멥쌀, 백미, 밥, 옥수수, 찰옥수수, 삶은것","메뉴명: 보리옥수수밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 보리, 겉보리, 압맥, 멥쌀, 백미, 밥, 옥수수, 찰옥수수, 삶은것"
D012049,잡곡밥,밥류,잡곡밥류,"찹쌀, 백미, 생것, 멥쌀, 백미, 밥, 조, 차조, 도정, 생것, 팥, 적색, 말린것, 수수, 찰수수, 도정, 생것, 대두, 검은색, 흑태, 말린것, 기장, 도정, 생것, 소금, 천일염, 가는소금","메뉴명: 잡곡밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 생것, 멥쌀, 백미, 밥, 조, 차조, 도정, 생것, 팥, 적색, 말린것, 수수, 찰수수, 도정, 생것, 대두, 검은색, 흑태, 말린것, 기장, 도정, 생것, 소금, 천일염, 가는소금"
D012050,잡곡밥,밥류,잡곡밥류,"찹쌀, 백미, 생것, 멥쌀, 백미, 밥, 조, 차조, 도정, 생것, 팥, 적색, 말린것, 수수, 찰수수, 도정, 생것, 대두, 검은색, 흑태, 말린것, 기장, 도정, 생것, 소금, 천일염, 가는소금","메뉴명: 잡곡밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 생것, 멥쌀, 백미, 밥, 조, 차조, 도정, 생것, 팥, 적색, 말린것, 수수, 찰수수, 도정, 생것, 대두, 검은색, 흑태, 말린것, 기장, 도정, 생것, 소금, 천일염, 가는소금"
D012051,귀리밥,밥류,잡곡밥류,"찹쌀, 백미, 생것, 귀리, 쌀귀리, 도정, 생것","메뉴명: 귀리밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 생것, 귀리, 쌀귀리, 도정, 생것"
D012052,보리고구마밥,밥류,잡곡밥류,"보리, 쌀보리, 도정, 생것, 고구마, 찐것, 멥쌀, 백미, 밥","메뉴명: 보리고구마밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 보리, 쌀보리, 도정, 생것, 고구마, 찐것, 멥쌀, 백미, 밥"
D012053,옥수수밥,밥류,잡곡밥류,"옥수수, 찰옥수수, 삶은것, 멥쌀, 백미, 밥","메뉴명: 옥수수밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 옥수수, 찰옥수수, 삶은것, 멥쌀, 백미, 밥"
D012054,잡곡밥(강낭콩),밥류,잡곡밥류,"강낭콩, 삶은것, 멥쌀, 백미, 밥, 보리, 겉보리, 압맥","메뉴명: 잡곡밥(강낭콩)
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 강낭콩, 삶은것, 멥쌀, 백미, 밥, 보리, 겉보리, 압맥"
D012055,귀리누룽지,밥류,잡곡밥류,"귀리, 쌀귀리, 도정, 생것, 찹쌀, 백미, 생것","메뉴명: 귀리누룽지
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 귀리, 쌀귀리, 도정, 생것, 찹쌀, 백미, 생것"
D012056,보리고구마밥,밥류,잡곡밥류,"보리, 쌀보리, 도정, 생것, 고구마, 찐것, 멥쌀, 백미, 밥","메뉴명: 보리고구마밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 보리, 쌀보리, 도정, 생것, 고구마, 찐것, 멥쌀, 백미, 밥"
D012057,귀리밥,밥류,잡곡밥류,"찹쌀, 백미, 생것, 귀리, 쌀귀리, 도정, 생것","메뉴명: 귀리밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 생것, 귀리, 쌀귀리, 도정, 생것"
D012058,귀리영양밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 귀리, 겉귀리, 도정, 생것, 마늘, 생것, 닭고기, 가슴, 생것, 토마토, 방울토마토, 생것, 인삼, 수삼, 생것, 비타민채(다채), 어린잎, 생것","메뉴명: 귀리영양밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 귀리, 겉귀리, 도정, 생것, 마늘, 생것, 닭고기, 가슴, 생것, 토마토, 방울토마토, 생것, 인삼, 수삼, 생것, 비타민채(다채), 어린잎, 생것"
D012059,기장 영양밥,밥류,잡곡밥류,"기장, 도정, 생것, 멥쌀, 백미, 생것, 전복, 둥근전복, 생것, 우엉, 생것, 연근, 생것, 당근, 뿌리, 생것, 고구마, 생것, 맛술, 참기름, 고춧가루, 간장, 개량, 양조, 매실청, 파, 대파, 생것, 마늘, 생것, 참깨, 흰색, 볶은것, 파, 쪽파, 생것, 생수","메뉴명: 기장 영양밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 기장, 도정, 생것, 멥쌀, 백미, 생것, 전복, 둥근전복, 생것, 우엉, 생것, 연근, 생것, 당근, 뿌리, 생것, 고구마, 생것, 맛술, 참기름, 고춧가루, 간장, 개량, 양조, 매실청, 파, 대파, 생것, 마늘, 생것, 참깨, 흰색, 볶은것, 파, 쪽파, 생것, 생수"
D012060,대추영양밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 찹쌀, 백미, 생것, 생수, 대추, 생것, 호박, 단호박, 생것, 표고버섯, 참나무재배, 생것, 은행, 생것, 호박씨, 말린것, 소금, 천일염, 가는소금, 부추, 재래종, 생것, 고춧가루, 간장, 개량, 양조, 마늘, 생것, 들기름, 참깨, 흰색, 볶은것","메뉴명: 대추영양밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 찹쌀, 백미, 생것, 생수, 대추, 생것, 호박, 단호박, 생것, 표고버섯, 참나무재배, 생것, 은행, 생것, 호박씨, 말린것, 소금, 천일염, 가는소금, 부추, 재래종, 생것, 고춧가루, 간장, 개량, 양조, 마늘, 생것, 들기름, 참깨, 흰색, 볶은것"
D012061,상추쌈보리밥,밥류,잡곡밥류,"보리, 쌀보리, 도정, 생것, 멥쌀, 백미, 생것, 조, 메조, 도정, 생것, 생수, 상추, 잎상추, 치마상추, 녹색, 생것, 양파, 생것, 쌈장","메뉴명: 상추쌈보리밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 보리, 쌀보리, 도정, 생것, 멥쌀, 백미, 생것, 조, 메조, 도정, 생것, 생수, 상추, 잎상추, 치마상추, 녹색, 생것, 양파, 생것, 쌈장"
D012062,영양찰밥 품은 팥,밥류,잡곡밥류,"팥, 적색, 말린것, 수수, 찰수수, 도정, 생것, 생수, 찹쌀, 백미, 가루, 설탕, 백설탕, 소금, 천일염, 가는소금","메뉴명: 영양찰밥 품은 팥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 팥, 적색, 말린것, 수수, 찰수수, 도정, 생것, 생수, 찹쌀, 백미, 가루, 설탕, 백설탕, 소금, 천일염, 가는소금"
D012063,오곡밥,밥류,잡곡밥류,"찹쌀, 백미, 생것, 멥쌀, 백미, 생것, 팥, 적색, 말린것, 밤콩, 갈색, 말린것, 수수, 찰수수, 도정, 생것, 조, 차조, 도정, 생것, 소금, 천일염, 가는소금, 생수","메뉴명: 오곡밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 생것, 멥쌀, 백미, 생것, 팥, 적색, 말린것, 밤콩, 갈색, 말린것, 수수, 찰수수, 도정, 생것, 조, 차조, 도정, 생것, 소금, 천일염, 가는소금, 생수"
D012064,오곡연잎밥,밥류,잡곡밥류,"찹쌀, 백미, 생것, 멥쌀, 백미, 생것, 대두, 검은색, 서리태, 말린것, 팥, 적색, 말린것, 수수, 도정, 생것, 조, 차조, 도정, 생것, 생수, 연잎밥, 밤, 생것, 소금, 천일염, 가는소금","메뉴명: 오곡연잎밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 찹쌀, 백미, 생것, 멥쌀, 백미, 생것, 대두, 검은색, 서리태, 말린것, 팥, 적색, 말린것, 수수, 도정, 생것, 조, 차조, 도정, 생것, 생수, 연잎밥, 밤, 생것, 소금, 천일염, 가는소금"
D012065,옥수수영양밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 생수, 당근, 뿌리, 생것, 우엉, 생것, 표고버섯, 참나무재배, 생것, 옥수수, 단옥수수, 생것, 다시마, 말린것, 완두, 생것, 참기름, 맛술, 소금, 천일염, 가는소금","메뉴명: 옥수수영양밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 생수, 당근, 뿌리, 생것, 우엉, 생것, 표고버섯, 참나무재배, 생것, 옥수수, 단옥수수, 생것, 다시마, 말린것, 완두, 생것, 참기름, 맛술, 소금, 천일염, 가는소금"
D012066,강낭콩밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 강낭콩, 생것","메뉴명: 강낭콩밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 강낭콩, 생것"
D012067,꽁보리밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 보리, 겉보리, 늘보리, 도정, 생것","메뉴명: 꽁보리밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 보리, 겉보리, 늘보리, 도정, 생것"
D012068,늘보리밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 보리, 겉보리, 늘보리, 도정, 생것","메뉴명: 늘보리밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 보리, 겉보리, 늘보리, 도정, 생것"
D012069,동부콩밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 동부, 생것","메뉴명: 동부콩밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 동부, 생것"
D012070,렌틸콩밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 렌즈콩(렌틸콩), 갈색, 말린것, 찹쌀, 현미, 생것","메뉴명: 렌틸콩밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 렌즈콩(렌틸콩), 갈색, 말린것, 찹쌀, 현미, 생것"
D012071,모듬콩밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 완두, 생것, 대두, 검은색, 흑태, 말린것","메뉴명: 모듬콩밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 완두, 생것, 대두, 검은색, 흑태, 말린것"
D012072,서리태밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 찹쌀, 백미, 생것, 대두, 검은색, 서리태, 말린것","메뉴명: 서리태밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 찹쌀, 백미, 생것, 대두, 검은색, 서리태, 말린것"
D012073,오곡찰밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 찹쌀, 백미, 생것, 팥, 검은색, 말린것, 조, 차조, 도정, 생것, 수수, 도정, 생것, 기장, 도정, 생것, 소금, 천일염, 소금꽃","메뉴명: 오곡찰밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 찹쌀, 백미, 생것, 팥, 검은색, 말린것, 조, 차조, 도정, 생것, 수수, 도정, 생것, 기장, 도정, 생것, 소금, 천일염, 소금꽃"
D012074,찰보리밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 보리, 쌀보리, 찰보리, 도정, 생것","메뉴명: 찰보리밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 보리, 쌀보리, 찰보리, 도정, 생것"
D012075,찰현미밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 찹쌀, 현미, 생것","메뉴명: 찰현미밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 찹쌀, 현미, 생것"
D012076,귀리수수밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 수수, 도정, 생것, 귀리, 쌀귀리, 도정, 생것","메뉴명: 귀리수수밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 수수, 도정, 생것, 귀리, 쌀귀리, 도정, 생것"
D012077,귀리차조밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 조, 차조, 도정, 생것, 귀리, 쌀귀리, 도정, 생것","메뉴명: 귀리차조밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 조, 차조, 도정, 생것, 귀리, 쌀귀리, 도정, 생것"
D012078,귀리현미밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 찹쌀, 현미, 생것, 귀리, 쌀귀리, 도정, 생것","메뉴명: 귀리현미밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 찹쌀, 현미, 생것, 귀리, 쌀귀리, 도정, 생것"
D012079,기장보리밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 보리, 겉보리, 도정, 생것, 기장, 도정, 생것","메뉴명: 기장보리밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 보리, 겉보리, 도정, 생것, 기장, 도정, 생것"
D012080,기장현미밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 찹쌀, 현미, 생것, 기장, 도정, 생것","메뉴명: 기장현미밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 찹쌀, 현미, 생것, 기장, 도정, 생것"
D012081,대추밤찰밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 밤, 생것, 찹쌀, 백미, 생것, 팥, 검은색, 말린것, 대추, 말린것","메뉴명: 대추밤찰밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 밤, 생것, 찹쌀, 백미, 생것, 팥, 검은색, 말린것, 대추, 말린것"
D012082,더덕영양밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 더덕, 뿌리, 생것, 표고버섯, 배지재배, 생것, 은행, 생것, 소금, 천일염, 소금꽃","메뉴명: 더덕영양밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 더덕, 뿌리, 생것, 표고버섯, 배지재배, 생것, 은행, 생것, 소금, 천일염, 소금꽃"
D012083,병아리콩밥,밥류,잡곡밥류,"멥쌀, 백미, 생것, 병아리콩, 말린것","메뉴명: 병아리콩밥
메뉴 대분류: 밥류
메뉴 소분류: 잡곡밥류
식재료: 멥쌀, 백미, 생것, 병아리콩, 말린것"
